MonitoringLocationName,Longitude,Latitude,n,AvgTP,GMeanTP,SDTP,sen_slope,p_value,z_statistic,OBJECTID,Join_Count,TARGET_FID,TFACTOR,AWS100,AWS25,DEP2WATTBL,HYDROLGRP,SLOPE_1,CM2RESLYR,KFACTRF,KFACTWS,PHWATER,CLAY,KSAT,OM,SAND,OBJECTID_1,Join_Count_1,TARGET_FID_1,Id,gridcode,Land_Cover
Assabet River,-71.63,42.3,166,140.9,106.3,120.4,-0.7,0,-6.9,1,1,1,3,12.01,3.44,51,C/D,5,81,0.28,0.28,5.2,7,10,7.01,61,1,1,1,1103572,7,Deciduous Forest
Blackstone River,-71.79,42.23,183,188.2,100.5,259.5,-0.2,0.03,-2.1,2,2,2,3,4.73,1.8,0,A,8,0,0.1,0.1,4.6,2,100,2.8,81,2,4,2,1325417,4,Developed Medium Intensity
Cady Brook,-72.01,42.12,48,32.9,26.5,24.3,-0.4,0,-3.1,3,3,3,2,10.61,4.21,0,B,9,76,0.28,0.28,4.2,9,10.0001,10,58,3,2,3,1753562,9,Mixed Forest
"Central Cemetery, Millbury",-71.77,42.19,43,147.7,67.6,292.3,0,0.99,0,4,3,4,4,23.4,7.25,8,B/D,1,0,0.32,0.32,6.2,9.5,9.17,15,64.1,4,2,4,1429431,7,Deciduous Forest
Concord River,-71.3,42.64,55,67.5,62.4,24.6,-0.6,0,-2.8,5,1,5,4,5.27,1.82,0,A,5,0,0.28,0.28,5.1,5.4,100,4.12,60.1,5,2,5,280987,4,Developed Medium Intensity
"Danforth Br, Hudson",-71.57,42.4,116,47.8,39.6,33.1,0,0.31,-1,6,1,6,4,5.27,1.82,0,A,5,0,0.28,0.28,5.1,5.4,100,4.12,60.1,6,5,6,824688,4,Developed Medium Intensity
"Elizabeth Br, Stow",-71.49,42.43,114,38.6,30.8,29.5,0,0.09,-1.7,7,2,7,2,30.23,7.81,0,B/D,1,0,0.28,0.28,5.1,5.4,100,4.12,60.1,7,2,7,735484,4,Developed Medium Intensity
French River,-71.89,42.05,107,24.7,21.5,16.7,0,0.85,-0.2,8,1,8,3,8.75,2.69,61,C,12,66,0.28,0.28,5.5,7,10,5.5,61,8,7,8,1906168,2,Developed Open Space
"Hop Br, Northboro",-71.66,42.29,121,46.9,37,41.5,0,0.85,-0.2,9,1,9,3,6.99,3.12,0,A,12,0,0.1,0.1,4.6,2,100,5.5,81,9,7,9,1111268,14,Woody Wetlands
"Hop Br, Sudbury",-71.4,42.36,98,92.9,70.4,78.1,0,0.42,-0.8,10,2,10,5,11.75,3.4,64,A,6,0,0.2,0.2,5.1,2,100,2.5,80,10,3,10,846897,12,Pasture/Hay
"Lowell Rd bridge, Concord",-71.36,42.47,81,42.2,35.2,29.2,-0.1,0.13,-1.5,11,1,11,5,11.99,3.43,0,B,12,0,0.24,0.24,5.1,9,10,8,57,11,7,11,605751,4,Developed Medium Intensity
"Maynard St, Westboro",-71.63,42.27,43,38.3,32.3,23.2,-0.5,0.04,-2.1,12,2,12,3,14.76,4.93,66,C,12,71,0.28,0.28,5.5,7,10,10,61,12,2,12,1149274,14,Woody Wetlands
Mill River,-72.55,42.39,81,35.5,25.2,43.1,-0.1,0.3,-1,13,2,13,5,17.84,5,153,B,2,0,0.37,0.37,5.9,7,9.17,3.5,21.9,13,6,13,1237963,4,Developed Medium Intensity
"Mill Road, Westboro",-71.63,42.27,65,42.6,29.5,54,0,0.21,-1.3,14,2,14,3,14.76,4.93,66,C,12,71,0.28,0.28,5.5,7,10,10,61,14,2,14,1149274,14,Woody Wetlands
