,GMeanTP,sen_slope,TFACTOR,AWS100,AWS25,DEP2WATTBL,SLOPE_1,CM2RESLYR,KFACTWS,PHWATER,CLAY,KSAT,OM,SAND,Land_Cover_Encoded
GMeanTP,1.0,-0.18936750146657197,0.06783962376015851,0.016051051899705206,0.03483116337846998,-0.07286927470379229,-0.20009537049450526,-0.030638003928222603,0.047685039807872774,-0.04185291885622904,0.018961420884178255,0.0023578211771474924,0.03536522678014435,0.06893424481429232,-0.025175176433684585
sen_slope,-0.18936750146657197,1.0,0.18206926197125964,0.13832349159009472,0.089428422249279,0.12091423076732614,0.25742179285927624,-0.011052682371596512,0.1468503721194422,0.32491946911035047,-0.028025735447369922,0.08227831843873137,0.06949830962860828,-0.14461722586413703,-0.24088983627080382
TFACTOR,0.06783962376015851,0.18206926197125964,1.0,-0.0524556041045182,-0.09455421874230073,0.08526241179962718,-0.2283627724192413,-0.5198797808226713,0.16411575848303228,0.39202088780108424,-0.13377103662532983,0.23817806415383677,-0.34207131098596877,-0.03612541834050795,-0.10222645652377073
AWS100,0.016051051899705206,0.13832349159009472,-0.0524556041045182,1.0,0.9263486676951169,0.17627688805116987,-0.277530961630067,0.05782645399960716,0.48270065563997283,0.5273498661789204,0.4443647294418347,-0.5170836550933434,0.5504071090914783,-0.33869380774176167,0.08757599543192243
AWS25,0.03483116337846998,0.089428422249279,-0.09455421874230073,0.9263486676951169,1.0,0.0836463797682548,-0.2260483334133295,-0.0013567419414119116,0.3662924938807758,0.44657367116190827,0.34446505341637695,-0.4724893767728678,0.6004953033709544,-0.2658670281914477,0.2521867824106759
DEP2WATTBL,-0.07286927470379229,0.12091423076732614,0.08526241179962718,0.17627688805116987,0.0836463797682548,1.0,0.04263068104263951,0.41985359242157966,0.18515865406889753,0.4920762757369518,0.0722111710100699,-0.41622243020644206,-0.006385615223909081,-0.05044685879257512,-0.022666418558708285
SLOPE_1,-0.20009537049450526,0.25742179285927624,-0.2283627724192413,-0.277530961630067,-0.2260483334133295,0.04263068104263951,1.0,0.3307921087687314,-0.31355692083523296,-0.2659580356650172,-0.0452413816317656,-0.05506971981874882,0.01649102747943424,0.19440004787256546,0.0025260939962507656
CM2RESLYR,-0.030638003928222603,-0.011052682371596512,-0.5198797808226713,0.05782645399960716,-0.0013567419414119116,0.41985359242157966,0.3307921087687314,1.0,0.25639282205267794,-0.009470182404108473,0.47742195379690244,-0.6535950589133916,0.3231053555161155,-0.03258679844980924,-0.11719573630132049
KFACTWS,0.047685039807872774,0.1468503721194422,0.16411575848303228,0.48270065563997283,0.3662924938807758,0.18515865406889753,-0.31355692083523296,0.25639282205267794,1.0,0.5405592331152004,0.7783109142779169,-0.4680360766127259,0.33376740636851715,-0.5354022322527489,-0.29961303666271033
PHWATER,-0.04185291885622904,0.32491946911035047,0.39202088780108424,0.5273498661789204,0.44657367116190827,0.4920762757369518,-0.2659580356650172,-0.009470182404108473,0.5405592331152004,1.0,0.2600919044429034,-0.370462058699228,0.1477986176466715,-0.19819012847950848,-0.21500276455322312
CLAY,0.018961420884178255,-0.028025735447369922,-0.13377103662532983,0.4443647294418347,0.34446505341637695,0.0722111710100699,-0.0452413816317656,0.47742195379690244,0.7783109142779169,0.2600919044429034,1.0,-0.7016720960653606,0.5718031151789235,-0.4871304904132128,-0.24777645154328448
KSAT,0.0023578211771474924,0.08227831843873137,0.23817806415383677,-0.5170836550933434,-0.4724893767728678,-0.41622243020644206,-0.05506971981874882,-0.6535950589133916,-0.4680360766127259,-0.370462058699228,-0.7016720960653606,1.0,-0.570038648921175,0.29721768716937225,0.02229714037430738
OM,0.03536522678014435,0.06949830962860828,-0.34207131098596877,0.5504071090914783,0.6004953033709544,-0.006385615223909081,0.01649102747943424,0.3231053555161155,0.33376740636851715,0.1477986176466715,0.5718031151789235,-0.570038648921175,1.0,-0.28696618387436695,0.19699055241387728
SAND,0.06893424481429232,-0.14461722586413703,-0.03612541834050795,-0.33869380774176167,-0.2658670281914477,-0.05044685879257512,0.19440004787256546,-0.03258679844980924,-0.5354022322527489,-0.19819012847950848,-0.4871304904132128,0.29721768716937225,-0.28696618387436695,1.0,0.1887791489027375
Land_Cover_Encoded,-0.025175176433684585,-0.24088983627080382,-0.10222645652377073,0.08757599543192243,0.2521867824106759,-0.022666418558708285,0.0025260939962507656,-0.11719573630132049,-0.29961303666271033,-0.21500276455322312,-0.24777645154328448,0.02229714037430738,0.19699055241387728,0.1887791489027375,1.0
