MonitoringLocationName,Latitude,Longitude,GMeanTP,sen_slope,TFACTOR,AWS100,AWS25,DEP2WATTBL,SLOPE_1,CM2RESLYR,KFACTWS,PHWATER,CLAY,KSAT,OM,SAND,Land_Cover_Encoded,Cluster,Type
Assabet River,42.3,-71.63,106.3,-0.7,3,12.01,3.44,51,5,81,0.28,5.2,7.0,10.0,7.01,61.0,1,1,Deep-Drained Upland
Blackstone River,42.23,-71.79,100.5,-0.2,3,4.73,1.8,0,8,0,0.1,4.6,2.0,100.0,2.8,81.0,4,2,Sandy Forested
Cady Brook,42.12,-72.01,26.5,-0.4,2,10.61,4.21,0,9,76,0.28,4.2,9.0,10.0001,10.0,58.0,8,1,Deep-Drained Upland
"Central Cemetery, Millbury",42.19,-71.77,67.6,0.0,4,23.4,7.25,8,1,0,0.32,6.2,9.5,9.17,15.0,64.1,1,3,Organic Wetland (High-P)
Concord River,42.64,-71.3,62.4,-0.6,4,5.27,1.82,0,5,0,0.28,5.1,5.4,100.0,4.12,60.1,4,0,Permeable Developed
"Danforth Br, Hudson",42.4,-71.57,39.6,0.0,4,5.27,1.82,0,5,0,0.28,5.1,5.4,100.0,4.12,60.1,4,0,Permeable Developed
"Elizabeth Br, Stow",42.43,-71.49,30.8,0.0,2,30.23,7.81,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,Anomalous
French River,42.05,-71.89,21.5,0.0,3,8.75,2.69,61,12,66,0.28,5.5,7.0,10.0,5.5,61.0,5,1,Deep-Drained Upland
"Hop Br, Northboro",42.29,-71.66,37.0,0.0,3,6.99,3.12,0,12,0,0.1,4.6,2.0,100.0,5.5,81.0,10,2,Sandy Forested
"Hop Br, Sudbury",42.36,-71.4,70.4,0.0,5,11.75,3.4,64,6,0,0.2,5.1,2.0,100.0,2.5,80.0,9,2,Sandy Forested
"Lowell Rd bridge, Concord",42.47,-71.36,35.2,-0.1,5,11.99,3.43,0,12,0,0.24,5.1,9.0,10.0,8.0,57.0,4,0,Permeable Developed
"Maynard St, Westboro",42.27,-71.63,32.3,-0.5,3,14.76,4.93,66,12,71,0.28,5.5,7.0,10.0,10.0,61.0,10,1,Deep-Drained Upland
Mill River,42.39,-72.55,25.2,-0.1,5,17.84,5.0,153,2,0,0.37,5.9,7.0,9.17,3.5,21.9,4,0,Permeable Developed
"Mill Road, Westboro",42.27,-71.63,29.5,0.0,3,14.76,4.93,66,12,71,0.28,5.5,7.0,10.0,10.0,61.0,10,1,Deep-Drained Upland
Millers River,42.6,-72.44,27.4,-0.1,3,9.89,2.9,0,12,66,0.24,4.3,7.3,10.0,5.75,61.2,5,1,Deep-Drained Upland
Nashoba Brook,42.51,-71.4,41.7,0.0,3,12.01,3.44,51,5,81,0.28,5.2,7.0,10.0,7.01,61.0,1,1,Deep-Drained Upland
"Nashoba, Commonwealth, W. Concord",42.46,-71.4,37.7,0.0,4,5.27,1.82,0,5,0,0.28,5.1,5.4,100.0,4.12,60.1,6,0,Permeable Developed
"Nashoba, Wheeler Ln, Acton",42.51,-71.4,40.5,-0.1,3,12.01,3.44,51,5,81,0.28,5.2,7.0,10.0,7.01,61.0,1,1,Deep-Drained Upland
Nashua River,42.67,-71.57,38.6,-0.1,5,7.87,2.39,153,2,0,0.15,5.5,2.0,91.74,3.5,80.9,8,2,Sandy Forested
New Millbury St Bridge,42.23,-71.79,42.0,0.0,3,4.73,1.8,0,8,0,0.1,4.6,2.0,100.0,2.8,0.0,4,0,Permeable Developed
"North Br, Berlin",42.36,-71.63,28.4,0.0,4,9.02,3.14,0,5,0,0.28,5.1,5.4,100.0,4.12,60.1,2,0,Permeable Developed
North Nashua River,42.5,-71.72,86.0,-0.3,4,9.04,3.15,0,1,0,0.28,5.1,5.4,100.0,4.12,60.1,7,0,Permeable Developed
Otter River,42.59,-72.04,57.9,-0.5,3,11.91,4.82,46,9,54,0.32,4.8,6.0,10.0,13.0,47.0,7,1,Deep-Drained Upland
Priest Brook,42.68,-72.12,16.6,-0.2,3,5.87,1.66,0,12,0,0.05,4.8,3.0,91.74,5.5,80.2,7,2,Sandy Forested
Quaboag River,42.18,-72.26,36.5,-0.4,3,6.99,3.12,0,12,0,0.1,4.6,2.0,100.0,5.5,81.0,8,2,Sandy Forested
Quinebaug River,42.11,-72.12,13.2,-0.1,3,13.82,4.27,61,20,66,0.28,5.5,7.0,10.0,5.5,61.0,3,1,Deep-Drained Upland
Quinsigamond River,42.23,-71.71,19.4,0.0,3,11.48,3.0,46,6,76,0.28,5.2,7.0,10.0,7.01,61.0,4,1,Deep-Drained Upland
Rice City Pond Downstream,42.1,-71.62,72.1,-0.5,4,9.02,3.14,0,5,0,0.28,5.1,5.4,100.0,4.12,60.1,8,0,Permeable Developed
"River Mead, Thorndike, Lowell",42.63,-71.31,45.7,0.0,4,5.27,1.82,0,5,0,0.28,5.1,5.4,100.0,4.12,60.1,4,0,Permeable Developed
"River Rd, Wayland",42.37,-71.38,42.0,0.3,4,25.02,7.63,0,1,0,0.37,5.5,9.5,9.17,15.0,21.2,6,3,Organic Wetland (High-P)
"Robin Hill Rd, Marlboro",42.35,-71.61,64.9,-2.1,1,8.0,3.34,0,9,41,0.2,4.2,9.0,10.0,10.0,58.0,8,1,Deep-Drained Upland
"Rogers St, Lowell",42.64,-71.3,46.9,-0.1,4,5.27,1.82,0,5,0,0.28,5.1,5.4,100.0,4.12,60.1,4,0,Permeable Developed
"Route 122A, Grafton",42.18,-71.69,49.2,-0.2,4,20.84,9.52,23,2,0,0.24,5.9,4.0,23.29,5.5,65.0,10,3,Organic Wetland (High-P)
"Rte 2, Concord",42.47,-71.39,41.8,-0.4,3,6.99,3.12,0,2,0,0.1,4.6,2.0,100.0,5.5,81.0,9,2,Sandy Forested
"Rte 20, Wayland",42.36,-71.37,39.7,0.3,4,25.02,7.63,0,1,0,0.37,5.5,9.5,9.17,15.0,21.2,10,3,Organic Wetland (High-P)
"Rte 225, Bedford",42.51,-71.31,54.6,-0.5,4,15.51,4.29,23,2,0,0.24,5.5,4.0,23.29,5.5,65.0,10,3,Organic Wetland (High-P)
"Rte 27/USGS, Maynard",42.43,-71.45,46.3,-0.3,4,5.27,1.82,0,5,0,0.28,5.1,5.4,100.0,4.12,60.1,2,0,Permeable Developed
"Rte 62 Boat House, Concord",42.46,-71.37,35.4,0.0,4,5.27,1.82,0,5,0,0.28,5.1,5.4,100.0,4.12,60.1,4,0,Permeable Developed
"Rte 62, Acton",42.44,-71.43,52.8,-0.8,4,15.51,4.29,23,2,0,0.24,5.5,4.0,23.29,5.5,65.0,4,3,Organic Wetland (High-P)
"Rte 62, Stow",42.4,-71.53,59.1,-1.5,3,11.48,3.0,46,6,76,0.28,5.2,7.0,10.0,7.01,61.0,9,1,Deep-Drained Upland
"Rte 9, Westboro",42.28,-71.64,87.5,-1.9,4,12.35,4.94,5,1,0,0.2,4.8,6.0,10.0,5.0,74.0,10,3,Organic Wetland (High-P)
Sevenmile River,42.26,-72.0,13.0,0.0,3,6.92,3.05,0,30,0,0.1,4.6,2.0,100.0,5.5,81.0,8,2,Sandy Forested
"Sherman Br Rd, Wayland",42.4,-71.36,40.0,0.0,5,7.11,2.67,0,3,0,0.15,5.1,1.0,100.0,4.13,85.0,7,2,Sandy Forested
Squannacook River,42.62,-71.64,16.0,-0.2,5,6.47,2.81,0,20,0,0.17,5.1,4.5,77.63,3.8,66.1,3,0,Permeable Developed
"Sudbury Landing, Framingham",42.33,-71.4,27.1,0.0,3,8.85,2.75,61,9,66,0.28,5.5,7.0,10.0,5.5,61.0,4,1,Deep-Drained Upland
Sudbury River,42.33,-71.4,23.3,-0.1,3,8.85,2.75,61,9,66,0.28,5.5,7.0,10.0,5.5,61.0,4,1,Deep-Drained Upland
"Sutton St. bridge, Northbridge",42.15,-71.65,67.0,-0.2,4,9.02,3.14,0,5,0,0.28,5.1,5.4,100.0,4.12,60.1,3,0,Permeable Developed
Trout Brook,42.08,-71.01,49.2,0.2,5,12.09,3.29,0,5,0,0.37,5.6,8.0,10.0,2.0,47.0,3,0,Permeable Developed
UBWPAD &amp; Blackston River,42.21,-71.78,103.2,1.9,3,14.11,4.65,66,25,71,0.28,5.5,7.0,10.0,10.0,61.0,4,1,Deep-Drained Upland
Unnamed Tributary,42.01,-70.83,49.1,-0.9,4,9.02,3.14,0,5,0,0.28,5.1,5.4,100.0,4.12,60.1,3,0,Permeable Developed
Ware River,42.24,-72.29,24.3,-0.1,3,13.08,4.0,61,2,0,0.24,5.9,4.0,23.29,4.0,65.0,3,0,Permeable Developed
West River,42.1,-71.6,24.7,0.1,2,13.95,5.72,0,1,0,0.24,5.3,4.0,55.0,12.0,61.0,8,3,Organic Wetland (High-P)
Westfield River,42.23,-72.87,13.7,0.3,4,9.02,3.14,0,5,0,0.28,5.1,5.4,100.0,4.12,60.1,7,0,Permeable Developed
